State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,24-08-2023,1449,1749,1649
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,25-08-2023,1396,1696,1596
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,26-08-2023,1485,1785,1685
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,27-08-2023,1583,1883,1783
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,28-08-2023,1418,1718,1618
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,29-08-2023,1428,1728,1628
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,30-08-2023,1619,1919,1819
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,31-08-2023,1548,1848,1748
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,01-09-2023,1434,1734,1634
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,02-09-2023,1545,1845,1745
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,03-09-2023,1453,1753,1653
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,04-09-2023,1462,1762,1662
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,05-09-2023,1542,1842,1742
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,06-09-2023,1334,1634,1534
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,07-09-2023,1361,1661,1561
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,08-09-2023,1485,1785,1685
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,09-09-2023,1447,1747,1647
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,10-09-2023,1587,1887,1787
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,11-09-2023,1471,1771,1671
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,12-09-2023,1427,1727,1627
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,13-09-2023,1721,2021,1921
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,14-09-2023,1557,1857,1757
Uttar Pradesh,Etawah,Etawah,Cucumbar(Kheera),Cucumbar,FAQ,15-09-2023,1591,1891,1791
